City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
190,Chai Nat,TH,78.01,15.1167,100.1,Thai Boxing ROSEINN RESORT
194,Victor Harbor,AU,73.99,-35.5667,138.6167,McCracken Country Club
195,Pipar,IN,60.91,26.3856,73.5378,Aadam Mansion
197,Antofagasta,CL,66.2,-23.65,-70.4,Holiday Inn Express Antofagasta
199,Cabo San Lucas,MX,68.0,22.8909,-109.9124,Hotel Tesoro Los Cabos
203,Hambantota,LK,75.2,6.1241,81.1185,Bungalow 63
204,Umm Kaddadah,SD,62.33,13.6017,26.6876,
205,Salvador,SV,75.2,13.8333,-88.9167,Chico's Ranch
206,Wabag,PG,69.01,-5.4781,143.7021,Shalom Inn
210,Kuching,MY,82.0,1.55,110.3333,Hilton Kuching
211,Huarmey,PE,69.98,-10.0681,-78.1522,Hotel Miramar
212,Goundam,ML,63.3,16.4145,-3.6708,
213,Guerrero Negro,MX,64.35,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,Dakar,SN,75.2,14.6937,-17.4441,Novotel Dakar
215,Galesong,ID,77.0,-5.3166,119.3661,Sapriadi Appy
217,Cavalcante,BR,68.09,-13.7975,-47.4583,Pousada Vila dos Ipês
220,Meulaboh,ID,83.12,4.1363,96.1285,Kost Pria
224,Sassandra,CI,76.91,4.95,-6.0833,la terrasse
227,Port Elizabeth,ZA,66.2,-33.918,25.5701,39 On Nile Guest House
231,Savalou,BJ,74.53,7.9281,1.9756,Hotel F&F
232,Rawson,AR,70.63,-43.3002,-65.1023,Hosteria Sampedro
233,Bhinmal,IN,64.72,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
238,Mar Del Plata,AR,61.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
239,Castro,BR,65.07,-24.7911,-50.0119,CHACARA BAILLY
241,Mahebourg,MU,78.8,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
242,Trat,TH,81.0,12.5,102.5,สวนหนิง-อัศ
243,Touros,BR,77.0,-5.1989,-35.4608,INN NEW HORIZON
253,Buin,CL,73.4,-33.7333,-70.75,Paihuen
254,Gemena,CD,66.13,3.25,19.7667,Hôtel Goshen
256,Cayenne,GF,78.8,4.9333,-52.3333,Hôtel Le Dronmi
257,Tsogni,GA,76.08,-2.7942,10.0988,
259,Meiktila,MM,72.12,20.8667,95.8667,The Floral Breeze Wunzin Hotel
262,Pilar,BR,75.2,-9.5972,-35.9567,Pousada e churrascaria Manguaba
263,Sungaipenuh,ID,68.79,-2.0833,101.3833,Hotel Jaya Wisata 2
267,Maiduguri,NG,65.71,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
268,Inirida,CO,73.87,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
269,Veraval,IN,67.44,20.9,70.3667,Lords Inn Somnath
270,Esperance,AU,75.2,-33.8667,121.9,Hospitality Esperance
271,Tabou,CI,77.88,4.423,-7.3528,hotêl doufoulougou
272,Loandjili,CG,77.54,-4.7561,11.8578,Résidence ARCHANGE
273,Port Hueneme,US,64.4,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
274,Nouadhibou,MR,64.63,20.930999999999997,-17.0347,El Medina
275,Viedma,AR,63.84,-40.8135,-62.9967,Hotel Cristal
277,Joao Pinheiro,BR,67.3,-17.7425,-46.1725,Hotel Santos
278,Kollam,IN,78.8,8.8833,76.6,The Raviz Ashtamudi
280,Abu Dhabi,AE,62.6,24.4667,54.3667,Beach Rotana
281,Puerto Escondido,MX,77.0,15.85,-97.0667,Aldea del Bazar Hotel and Spa
282,Wanning,CN,62.91,18.8003,110.3967,Paradise Hotel
286,Port-Gentil,GA,79.77,-0.7193,8.7815,Fengshui Residence
287,Umm Lajj,SA,65.86,25.0213,37.2685,Moon light Furnished Units
288,Nishihara,JP,60.8,26.1842,127.7558,Minshuku Agaihama
289,Ilheus,BR,73.71,-14.7889,-39.0494,Pontal Praia Hotel
290,Mayumba,GA,77.41,-3.432,10.6554,LIKWALE LODGE
296,Flowing Wells,US,61.0,32.294000000000004,-111.0098,Best Western InnSuites Tucson Foothills Hotel & Suites
298,Noumea,NC,86.0,-22.2763,166.4572,Hôtel Le Lagon
299,Benguela,AO,72.61,-12.5763,13.4055,Hotel Praia Morena
302,Katobu,ID,80.82,-4.9408,122.5276,La Ode Husein
303,Sarangani,PH,78.08,5.4033,125.4636,Ballistic Islet
304,Imbituba,BR,77.0,-28.24,-48.6703,Praia Hotel Imbituba
307,Pisco,PE,68.0,-13.7,-76.2167,Hotel San Isidro Oficial
309,San Quintin,MX,63.21,30.4833,-115.95,Old Mill Hotel
310,Labuhan,ID,78.53,-6.8844,112.2051,PT PPI Lamongan Tambak C
312,Ahome,MX,62.6,25.9167,-109.1833,Rancho El Sauce y la Palma
314,Puerto Maldonado,PE,73.4,-12.6,-69.1833,Wasai Hotel
316,General Jose Eduvigis Diaz,PY,71.01,-27.1667,-58.4167,
318,Olinda,BR,78.8,-8.0089,-34.8553,Flat Quatro Rodas Olinda
321,Auki,SB,85.48,-8.7676,160.7034,Auki Motel
322,Souillac,MU,78.8,-20.5167,57.5167,Shanti Maurice Resort & Spa
327,Lahaina,US,73.4,20.8783,-156.6825,Lahaina Shores Beach Resort
328,Bowen,AU,80.6,-20.0167,148.2333,Castle Motor Lodge Motel
330,Ende,ID,84.02,-8.8432,121.6623,Dwi Putra Hotel - Ende
331,Along,IN,64.72,28.1667,94.7667,Hotel West
333,Kolokani,ML,64.45,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
337,Ruwi,OM,60.8,23.5996,58.5507,Al Falaj Hotel
340,Laguna De Perlas,NI,76.08,12.3429,-83.6712,Hotel Best View
342,Acajutla,SV,78.17,13.5928,-89.8275,asi es
344,Kavaratti,IN,82.0,10.5669,72.642,Hotels in Lakshadweep Islands
346,Boulder City,US,60.8,35.9786,-114.8325,Boulder Dam Hotel
347,Itarema,BR,79.2,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
348,Aden,YE,74.86,12.7794,45.0367,Sama Emirate Hotel
349,Axim,GH,78.37,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
352,Kaeo,NZ,78.01,-35.1,173.7833,Bushido Lodge
353,Pangkalanbuun,ID,83.97,-2.6833,111.6167,Grand Kecubung Hotel
359,Abonnema,NG,77.0,4.7084,6.7931,Corper's Lodge Obonoma
361,Porto Belo,BR,80.6,-27.1578,-48.5531,Costa Verde Beach Hotel
362,Machali,CL,61.56,-34.1833,-70.6667,Residencial Aquelarre
